Department,Sub-Department,Major Functions,% of Budget,Activity Indicators,2011/2012,2012/2013,2013/2014
ENGINEERING,Technical Services,Mapping & Surveying,30%,Public Requests,867,700,1000
ENGINEERING,Technical Services,Mapping & Surveying,30%,Reviews,1271,1300,1400
ENGINEERING,Technical Services,Mapping & Surveying,30%,Record Management,777,650,800
ENGINEERING,Technical Services,Mapping & Surveying,30%,Skaneateles Farm Survey,34,50,200
ENGINEERING,Technical Services,Mapping & Surveying,30%,Permit Desk,46,0,0
ENGINEERING,Technical Services,Mapping & Surveying,30%,Other/Administrative,807,800,1200
ENGINEERING,Technical Services,Administration,21%,Divisions Administered,1,1,1
ENGINEERING,Technical Services,Administration,21%,Employees Authorized,25,25,25
PUBLIC WORKS,Main Office,Departmental Management,44%,Divisions Administered,10,10,10
PUBLIC WORKS,Main Office,Departmental Management,44%,Employees Authorized,409,413,409
PUBLIC WORKS,Main Office,Payroll,8%,Employee Leave Balances Maintained,375,390,390
PUBLIC WORKS,Main Office,Procurement,12%,Claims Processed,3131,5636,4410
PUBLIC WORKS,Main Office,Procurement,12%,Utility Bills Audited,3292,5246,4020
PUBLIC WORKS,Main Office,Accounting,10%,Parking Reports Audited,96,96,96
PUBLIC WORKS,Main Office,Accounting,10%,Capital Accounts Managed ,57,59,59
PUBLIC WORKS,Main Office,Accounting,10%,Journal Entries Processed,269,200,200
PUBLIC WORKS,Main Office,Accounting,10%,Budget Status Reports Prepared,13,13,13
PUBLIC WORKS,Main Office,Accounting,10%,Budgets Prepared and Monitored,10,10,10
PUBLIC WORKS,Main Office,Personnel Management,11%,Personnel Files Maintained,409,413,409
PUBLIC WORKS,Main Office,Personnel Management,11%,Employee Grievances Processed,34,45,50
PUBLIC WORKS,Main Office,Personnel Management,11%,Employee Injury Reports (C-2) Processed,310,325,315
PUBLIC WORKS,Main Office,Permits /Enforcement,1%,Street Closing Permits Issued,67,70,75
PUBLIC WORKS,Main Office,Permits /Enforcement,1%,Right-of-Way Waivers Issued,199,210,200
PUBLIC WORKS,Main Office,Permits /Enforcement,1%,Non-Food Vending Permits Issued,58,60,60
PUBLIC WORKS,Main Office,Permits /Enforcement,1%,Loading Zone Permits Issued,97,105,100
PUBLIC WORKS,Main Office,Parking Contract Management,3%,City-Owned Parking Lots Administered: --Managed by the City,2,2,2
PUBLIC WORKS,Main Office,Parking Contract Management,3%,City-Owned Parking Lots Administered: --Managed by a Contractor,1,0,0
PUBLIC WORKS,Main Office,Parking Contract Management,3%,Lot #2,756,1200,1200
PUBLIC WORKS,Main Office,Parking Contract Management,3%,Lot #4,276,175,175
PUBLIC WORKS,Main Office,Parking Contract Management,3%,Autopark Hours Issued,4912,155,0
PUBLIC WORKS,Main Office,Parking Contract Management,3%,Garages Administered,8,8,8
PUBLIC WORKS,Main Office,Parking Contract Management,3%,Operating Agreements Administered,8,8,8
PUBLIC WORKS,Main Office,Clerical,11%,-,-,-,-
PUBLIC WORKS,Information and Service Request,Litter and Codes Quick Response Teams,80%,City Blocks Cleaned,12500,12500,12500
PUBLIC WORKS,Information and Service Request,Litter and Codes Quick Response Teams,80%,Tires Collected,3800,4000,4000
PUBLIC WORKS,Information and Service Request,Litter and Codes Quick Response Teams,80%,Ramps Cleaned,2815,2850,2850
PUBLIC WORKS,Information and Service Request,Litter and Codes Quick Response Teams,80%,Ramps Mowed,898,980,980
PUBLIC WORKS,Information and Service Request,Litter and Codes Quick Response Teams,80%,Code Violations Picked Up,1300,1350,1350
PUBLIC WORKS,Information and Service Request,Litter and Codes Quick Response Teams,80%,Solid Waste Collection (Tons),580,580,580
PUBLIC WORKS,Information and Service Request,Litter and Codes Quick Response Teams,80%,Cuse Projects,23,40,40
PUBLIC WORKS,Information and Service Request,Litter and Codes Quick Response Teams,80%,Projects shoveled/salted,1955,2000,2000
PUBLIC WORKS,Information and Service Request,Litter and Codes Quick Response Teams,80%,Vacant Lots cleaned,425,425,425
PUBLIC WORKS,Building Services,Skilled Trades,77%,Sites Maintained,182,182,182
PUBLIC WORKS,Building Services,Skilled Trades,77%,Routine Maintenance Hours,48000,49000,49000
PUBLIC WORKS,Building Services,Skilled Trades,77%,Special Projects Hours,17000,18000,18000
PUBLIC WORKS,Building Services,Skilled Trades,77%,Special Events Hours,6200,5000,4000
PUBLIC WORKS,Building Services,Custodial/Maintenance,23%,In Square Feet: --City Hall,"101,091","101,091","101,091"
PUBLIC WORKS,Building Services,Custodial/Maintenance,23%,In Square Feet: City Hall Commons,58950,58950,58950
PUBLIC WORKS,Building Services,Custodial/Maintenance,23%,--DPW/DOT,"172,995","172,995","172,995"
PUBLIC WORKS,Building Services,Custodial/Maintenance,23%,-# of Board-Ups,"1,657",1500,1500
PUBLIC WORKS,Street Repair,Asphalt Production,13%,Asphalt Produced (Tons),"14,904",17000,18000
PUBLIC WORKS,Street Repair,Asphalt Production,13%,--Recycled Top,6488,7700,8000
PUBLIC WORKS,Street Repair,Asphalt Production,13%,--Recycled Binder,6646,7800,5200
PUBLIC WORKS,Street Repair,Asphalt Production,13%,--Virgin Top,1563,1500,1500
PUBLIC WORKS,Street Repair,Asphalt Production,13%,--Cold Patch,564,0,0
PUBLIC WORKS,Street Repair,Asphalt Production,13%,Production Days,133,125,140
PUBLIC WORKS,Street Repair,Asphalt Production,13%,Tons per Day,112,136,140
PUBLIC WORKS,Street Repair,Asphalt Production,13%,Nuclear Gauge Testing,129,110,135
PUBLIC WORKS,Street Repair,Asphalt Production,13%,Number of Marshall Test Sets,4,3,5
PUBLIC WORKS,Street Repair,Special Projects,9%,Asphalt Applied – DPW Projects (Tons) ,588,1000,1200
PUBLIC WORKS,Street Repair,Special Projects,9%,Other City Departments – Asphalt Applied (Tons):  Unimproved-Overlays,636,1000,1400
PUBLIC WORKS,Street Repair,Special Projects,9%,Sewers,27,275,200
PUBLIC WORKS,Street Repair,Special Projects,9%,Water,151,200,200
PUBLIC WORKS,Street Repair,Special Projects,9%,BOE,697,400,300
PUBLIC WORKS,Street Repair,Special Projects,9%,City Patch,1240,1300,1500
PUBLIC WORKS,Street Repair,Special Projects,9%,Onondaga County,275,500,400
PUBLIC WORKS,Street Repair,Inspections,7%,Assessment Sidewalks Installed (SF),"54,526",75400,82100
PUBLIC WORKS,Street Repair,Inspections,7%,City-Owned Sidewalks Installed (SF),13080,15100,18400
PUBLIC WORKS,Street Repair,Inspections,7%,Square Cut Repair,460,386,417
PUBLIC WORKS,Street Repair,Inspections,7%,Granite Curb (lf),29900,32300,35000
PUBLIC WORKS,Street Repair,Inspections,32%,Street Cuts:Underground Electric,9,9,9
PUBLIC WORKS,Street Repair,Inspections,32%,Street Cuts:-Underground Gas,275,300,325
PUBLIC WORKS,Street Repair,Inspections,32%,Street Cuts:--Underground Sewer,80,30,32
PUBLIC WORKS,Street Repair,Inspections,32%,Street Cuts:-Underground Fiber,14,15,17
PUBLIC WORKS,Street Repair,Inspections,32%,Street Cuts:--Borings,14,15,15
PUBLIC WORKS,Street Repair,Inspections,32%,Street Cuts:--Paving,2,2,2
PUBLIC WORKS,Street Repair,Inspections,32%,--Curbing,65,15,17
PUBLIC WORKS,Street Repair,Improved Street Program,39%,City Forces: --Square Yards Paved,"49,832",65000,70000
PUBLIC WORKS,Street Repair,Improved Street Program,39%,--Square Yards Milled,"49,832",65000,70000
PUBLIC WORKS,Street Repair,Improved Street Program,39%,-Asphalt Applied (Tons),11034,12000,13000
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Repair,54%,Equipment Supported-DPW,348,352,362
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Repair,54%,Equipment Supported-Other,138,148,148
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Repair,54%,Repair Orders,4148,4764,4764
PUBLIC WORKS,Motor Equipment Maintenance,Fueling,46%,Equipment Fueled,474,486,501
PUBLIC WORKS,Motor Equipment Maintenance,Fueling,46%,Gasoline -Gallons,"716,581",740000,740000
PUBLIC WORKS,Motor Equipment Maintenance,Fueling,46%,Diesel Fuel -Gallons,"309,273",330000,330000
PUBLIC WORKS,Motor Equipment Maintenance,Fueling,46%,Natural Gas-Therms Purchased at Centro,7891,9000,9000
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Main Office,3,4,4
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Information & Service Requests,21,23,25
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Building Services,44,47,53
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Grounds Maintenance (includes mowers),73,75,75
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Street Repair,46,49,54
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Motor Equipment Maintenance,20,21,21
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Technical Services,14,13,13
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Waste Collection & Recycling,46,46,46
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Parks and Recreation,50,49,49
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Street Cleaning,61,64,64
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Street Sweeping and Flushing,21,19,21
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Transportation,24,24,24
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Sewers,51,52,52
PUBLIC WORKS,Snow & Ice Control,Clearing Street of Snow and Ice,100%,Winter Season (November - April): --Snowfall in Inches,51,150,175
PUBLIC WORKS,Snow & Ice Control,Clearing Street of Snow and Ice,100%,Tons of Salt,16918,50750,59200
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Municipal Solid Waste and Bulk Items,70.5%,Municipal Solid Waste Collected Annually (Tons),"37,295","37,591","38,343"
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Municipal Solid Waste and Bulk Items,70.5%,Average Trash Tons Per Day,143,145,147
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Recyclables,23.0%,Recyclables Collected (Tons),6805,6987,7127
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Recyclables,23.0%,Average Tons Collected Per Day,26,27,28
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Management of Division Functions,.80%,Daily Routes: --Waste Collection,15,15,15
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Management of Division Functions,.80%,Daily Routes: --Recycling,9,9,9
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Management of Division Functions,.80%,Daily Routes: --Number of Personnel Supervised,95,92,93
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Accounting/Management of Contracts and Regulations,.80%,Vendor Invoices Audited,60,60,60
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Accounting/Management of Contracts and Regulations,.80%,Commercial Customers Served,233,232,232
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Accounting/Management of Contracts and Regulations,.80%,Invoices Prepared & Mailed,932,928,928
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Accounting/Management of Contracts and Regulations,.80%,Customer's Tags Issued,1785,1785,1785
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Accounting/Management of Contracts and Regulations,.80%,Private Hauler License Applications Processed,19,18,18
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Accounting/Management of Contracts and Regulations,.80%,Private Hauler Stickers Issued,5248,4248,4248
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Appliances and Scrap Metal,1.00%,Appliances Collected,7,20,20
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Appliances and Scrap Metal,1.00%,Scrap Metal (Tons),78,85,90
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Tires,1.5%,Tires Collected (Tons),203,225,225
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Disposal of Construction and Demolition Debris,1.8%,C & D (Tons),2621,3000,3000
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Disposal of Street Sweeping Debris,.60%,Tons Disposed,4107,3625,3625
PUBLIC WORKS,Street Cleaning,Street Sweeping and Flushing,25%,Annual Curb Miles Swept and Flushed,60000,60000,60000
PUBLIC WORKS,Street Cleaning,Yard Waste Collection and Processing,32%,Requests for Service,526,530,535
PUBLIC WORKS,Street Cleaning,Yard Waste Collection and Processing,32%,Cubic Yards Collected,"79,755",81000,83000
PUBLIC WORKS,Street Cleaning,Yard Waste Collection and Processing,32%,Cubic Yards Processed,52000,60000,62000
PUBLIC WORKS,Street Cleaning,Construction and Demolition Debris,12%,Requests for Service ,"2,148",2200,2200
PUBLIC WORKS,Street Cleaning,Construction and Demolition Debris,12%,Cubic Yards Collected and Disposed,25000,34500,34500
PUBLIC WORKS,Street Cleaning,Special Waste Collection,11%,Tons Collected and Disposed,3430,2500,2500
PUBLIC WORKS,Street Cleaning,Leaf Collection,13%,Cubic Yards Collected and Composted,29460,22000,22000
PUBLIC WORKS,Street Cleaning,Business District Litter Control,4%,Tons of Debris Collected and Disposed,240,240,240
PUBLIC WORKS,Street Cleaning,Special Event Support,3%,Events Supported,35,35,35
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Repair,54%,Equipment Supported-DPW,348,352,362
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Repair,54%,Equipment Supported-Other,138,148,148
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Repair,54%,Repair Orders,4148,4764,4764
PUBLIC WORKS,Motor Equipment Maintenance,Fueling,46%,Equipment Fueled,474,486,501
PUBLIC WORKS,Motor Equipment Maintenance,Fueling,46%,Gasoline -Gallons,"716,581",740000,740000
PUBLIC WORKS,Motor Equipment Maintenance,Fueling,46%,Diesel Fuel -Gallons,"309,273",330000,330000
PUBLIC WORKS,Motor Equipment Maintenance,Fueling,46%,Natural Gas-Therms Purchased at Centro,7891,9000,9000
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Main Office,3,4,4
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Information & Service Requests,21,23,25
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Building Services,44,47,53
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Grounds Maintenance (includes mowers),73,75,75
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Street Repair,46,49,54
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Motor Equipment Maintenance,20,21,21
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Technical Services,14,13,13
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Waste Collection & Recycling,46,46,46
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Parks and Recreation,50,49,49
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Street Cleaning,61,64,64
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Street Sweeping and Flushing,21,19,21
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Transportation,24,24,24
PUBLIC WORKS,Motor Equipment Maintenance,Equipment Supported,_,Sewers,51,52,52
PUBLIC WORKS,Snow & Ice Control,Clearing Street of Snow and Ice,100%,Winter Season (November - April): --Snowfall in Inches,51,150,175
PUBLIC WORKS,Snow & Ice Control,Clearing Street of Snow and Ice,100%,Tons of Salt,16918,50750,59200
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Municipal Solid Waste and Bulk Items,70.5%,Municipal Solid Waste Collected Annually (Tons),"37,295","37,591","38,343"
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Municipal Solid Waste and Bulk Items,70.5%,Average Trash Tons Per Day,143,145,147
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Recyclables,23.0%,Recyclables Collected (Tons),6805,6987,7127
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Recyclables,23.0%,Average Tons Collected Per Day,26,27,28
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Management of Division Functions,.80%,Daily Routes: --Waste Collection,15,15,15
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Management of Division Functions,.80%,Daily Routes: --Recycling,9,9,9
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Management of Division Functions,.80%,Daily Routes: --Number of Personnel Supervised,95,92,93
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Accounting/Management of Contracts and Regulations,.80%,Vendor Invoices Audited,60,60,60
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Accounting/Management of Contracts and Regulations,.80%,Commercial Customers Served,233,232,232
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Accounting/Management of Contracts and Regulations,.80%,Invoices Prepared & Mailed,932,928,928
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Accounting/Management of Contracts and Regulations,.80%,Customer's Tags Issued,1785,1785,1785
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Accounting/Management of Contracts and Regulations,.80%,Private Hauler License Applications Processed,19,18,18
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Accounting/Management of Contracts and Regulations,.80%,Private Hauler Stickers Issued,5248,4248,4248
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Appliances and Scrap Metal,1.00%,Appliances Collected,7,20,20
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Appliances and Scrap Metal,1.00%,Scrap Metal (Tons),78,85,90
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Collection and Disposal of Tires,1.5%,Tires Collected (Tons),203,225,225
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Disposal of Construction and Demolition Debris,1.8%,C & D (Tons),2621,3000,3000
PUBLIC WORKS,"Waste Collection, Recycling and Disposal",Disposal of Street Sweeping Debris,.60%,Tons Disposed,4107,3625,3625
PUBLIC WORKS,Transportation,Traffic Safety: --Sign Repair and Installation,5%,Traffic Signs Replaced or Repaired,7500,7500,7500
PUBLIC WORKS,Transportation,Traffic Safety: --Signal Repair and Installation,9%,Number of Intersections with Traffic Signals,330,330,330
PUBLIC WORKS,Transportation,Traffic Safety: --Pavement Marking,2%,Road Paint Purchased (Gallons),6000,6500,6000
PUBLIC WORKS,Transportation,On-Street Parking,1%,Metered Parking Spaces,1900,1900,1900
PUBLIC WORKS,Transportation,Off-Street Parking,32%,City Parking Garages,8,8,7
PUBLIC WORKS,Transportation,Off-Street Parking,32%,City Leased Parking Lots,1,1,1
PUBLIC WORKS,Transportation,Off-Street Parking,32%,City Managed Parking Lots,3,3,3
PUBLIC WORKS,Transportation,"Planning, Design and Economic Development",1%,_,_,_,_
PUBLIC WORKS,Transportation,City Owned and Maintained,1%,Streetscape (CBD) Lights,258,210,350
PUBLIC WORKS,Transportation,City Owned and Maintained,1%,Streetscape (CBD) Poles,347,347,500
PUBLIC WORKS,Transportation,City Owned and Maintained,1%,Creekwalk -Lights,50,50,126
PUBLIC WORKS,Transportation,City Owned and Maintained,1%,Creekwalk -Poles,248,248,126
PUBLIC WORKS,Transportation,City Owned and Maintained,1%,Outside CBD -Poles-Metal,180,192,192
PUBLIC WORKS,Transportation,City Owned and Maintained,1%,Outside CBD -Poles-Topics,180,199,199
PUBLIC WORKS,Transportation,City Owned and Maintained,1%,Connective Corridor -Ballards,0,0,122
PUBLIC WORKS,Transportation,City Owned and Maintained,1%,Connective Corridor -Poles,0,0,23
PUBLIC WORKS,Transportation,State Owned and City Maintained,3%,Interstates -Lights,833,833,890
PUBLIC WORKS,Transportation,State Owned and City Maintained,3%,Interstates -Poles,812,812,820
PUBLIC WORKS,Transportation,State Owned and City Maintained,3%,High Mast Lights,42,48,45
PUBLIC WORKS,Transportation,State Owned and City Maintained,3%,High Mast Poles,7,8,10
PUBLIC WORKS,Transportation,State Owned and City Maintained,3%,Highway & Bridges -Poles,155,155,155
PUBLIC WORKS,Transportation,National Grid Owned & Maintained,5%,Decorative Lighting Districts -Lights,1251,1350,1350
PUBLIC WORKS,Transportation,National Grid Owned & Maintained,5%,Decorative Lighting Districts -Poles-Metal,874,875,875
PUBLIC WORKS,Transportation,National Grid Owned & Maintained,16%,Collectors & Arterials -Lights,4455,5000,5000
PUBLIC WORKS,Transportation,National Grid Owned & Maintained,16%,Collectors & Arterials -Poles-Metal,987,990,990
PUBLIC WORKS,Transportation,National Grid Owned & Maintained,16%,Collectors & Arterials -Poles-Fiberglass,50,50,50
PUBLIC WORKS,Transportation,National Grid Owned & Maintained,16%,Collectors & Arterials -Poles-Wood,400,400,400
PUBLIC WORKS,Transportation,National Grid Owned & Maintained,25%,Local Streets -Lights,6603,11000,11000
PUBLIC WORKS,Transportation,National Grid Owned & Maintained,25%,Local Streets -Poles-Wood,255,260,260
PUBLIC WORKS,Transportation,National Grid Owned & Maintained,25%,Creek Walk -Lights,0,0,202
PUBLIC WORKS,Transportation,National Grid Owned & Maintained,25%,Creek Walk -Pole,0,0,0
FIRE,Main Fire,Fire Suppression,95%,Fires or Explosions,1065,1200,1300
FIRE,Main Fire,Fire Suppression,95%,Over Pressure Ruptures,38,38,50
FIRE,Main Fire,Fire Suppression,95%,Rescue Calls,16657,16908,17000
FIRE,Main Fire,Fire Suppression,95%,Hazardous Conditions,944,1200,1250
FIRE,Main Fire,Fire Suppression,95%,Service Calls,1717,1736,1700
FIRE,Main Fire,Fire Suppression,95%,Good Intent Calls,1504,1670,1700
FIRE,Main Fire,Fire Suppression,95%,False Alarms,3120,3290,4000
FIRE,Main Fire,Fire Suppression,95%,Other – Unclassified,160,160,170
FIRE,Main Fire,Fire Suppression,95%,Vacant Building Inspections,58900,60000,62400
FIRE,Main Fire,Fire Suppression,95%,School Safety Inspections,701,709,715
FIRE,Main Fire,Fire Suppression,95%,Opticom Control Inspections,18720,18720,18720
FIRE,Main Fire,Apparatus and Building Maintenance,4%,Buildings Maintained,13,13,13
FIRE,Main Fire,Apparatus and Building Maintenance,4%,Vehicles Maintained,89,89,89
FIRE,Main Fire,Apparatus and Building Maintenance,4%,Intersections Maintained,332,332,332
FIRE,Main Fire,Fire Investigations,1%,Investigations Made,613,535,545
FIRE,Fire Prevention Bureau,Code Education and Enforcement,100%,Initial Inspections,715,700,700
FIRE,Fire Prevention Bureau,Code Education and Enforcement,100%,Re-inspections,1990,2100,2100
FIRE,Fire Prevention Bureau,Code Education and Enforcement,100%,Joint Inspections,1266,600,1500
FIRE,Fire Prevention Bureau,Code Education and Enforcement,100%,License Inspections,630,800,850
FIRE,Fire Prevention Bureau,Code Education and Enforcement,100%,Blueprints & Plans Reviewed,613,800,900
FIRE,Fire Prevention Bureau,Code Education and Enforcement,100%,Hazardous Condition Inspections,55,33,60
FIRE,Fire Prevention Bureau,Code Education and Enforcement,100%,Public Assembly Inspections,2070,2500,2500
FIRE,Fire Prevention Bureau,Code Education and Enforcement,100%,Unclassified Inspections,925,1000,1000
FIRE,Fire Prevention Bureau,Code Education and Enforcement,100%,Public Education Presentations,430,400,300
FIRE,Airport Crash Rescue,Airport Fire and EMS protection,100%,Air Craft Emergencies,17,18,16
FIRE,Airport Crash Rescue,Airport Fire and EMS protection,100%,Air Craft Incidents,1,2,2
FIRE,Airport Crash Rescue,Airport Fire and EMS protection,100%,Fire/Hazardous Incidents,12,15,15
FIRE,Airport Crash Rescue,Airport Fire and EMS protection,100%,Fire Alarm Activation,33,30,30
FIRE,Airport Crash Rescue,Airport Fire and EMS protection,100%,POL(Pooling Oil Liquids) Spills,3,5,5
FIRE,Airport Crash Rescue,Airport Fire and EMS protection,100%,Medical Emergency,117,120,120
FIRE,Airport Crash Rescue,Airport Fire and EMS protection,100%,Investigations/Assists,27,15,15
FIRE,Airport Crash Rescue,Airport Fire and EMS protection,100%,Mutual Aid,1,1,1
FIRE,Airport Crash Rescue,Airport Fire and EMS protection,100%,Miscellaneous,1,10,10
POLICE,General Services Bureau,"Chief's Office, Administration and General Services Staff Offices Policy Formulation and Management",2,General Orders Issued,32,38,35
POLICE,General Services Bureau,"Chief's Office, Administration and General Services Staff Offices Policy Formulation and Management",2%,Memorandum Orders Issued,34,40,40
POLICE,General Services Bureau,"Chief's Office, Administration and General Services Staff Offices Policy Formulation and Management",2%,Temporary Operating Orders /Issued,2,2,2
POLICE,General Services Bureau,"Chief's Office, Administration and General Services Staff Offices Policy Formulation and Management",2%,Personnel Orders Issued,559,565,560
POLICE,General Services Bureau,Personnel Division - Includes Administrative Leave Unit,2%,Active Personnel Files Maintained,625,630,650
POLICE,General Services Bureau,Personnel Division - Includes Administrative Leave Unit,2%,Transfer Requests Maintained,180,190,215
POLICE,General Services Bureau,Personnel Division - Includes Administrative Leave Unit,2%,Secondary Employment Requestments Processed,146,160,175
POLICE,General Services Bureau,Personnel Division - Includes Administrative Leave Unit,2%,"Appointments, Resignations and Retirements Procsesed",70,100,110
POLICE,General Services Bureau,Personnel Division - Includes Administrative Leave Unit,2%,Background Investigations,30,200,200
POLICE,General Services Bureau,Personnel Division - Includes Administrative Leave Unit,2%,Applicants Interviewed,30,200,230
POLICE,General Services Bureau,Personnel Division - Includes Administrative Leave Unit,2%,Applicants Canvassed,45,800,800
POLICE,General Services Bureau,Audit Budget and Control,3%,Purchase Requisitions,716,840,880
POLICE,General Services Bureau,Audit Budget and Control,3%,Bureau Payrolls Completed,78,78,78
POLICE,General Services Bureau,Audit Budget and Control,3%,Claims Prepared,2299,2300,2350
POLICE,General Services Bureau,Audit Budget and Control,3%,Program Cost Reports,80,257,260
POLICE,General Services Bureau,Audit Budget and Control,3%,Revenue Deposits Prepared,278,311,315
POLICE,General Services Bureau,Training Division,1%,Recruit Training:,-,-,-
POLICE,General Services Bureau,Training Division,1%,-Police Academy,0,25,25
POLICE,General Services Bureau,Training Division,1%,-Outside Agencies,0,25,25
POLICE,General Services Bureau,Training Division,1%,-Syracue C.S.O.'s,7,5,5
POLICE,General Services Bureau,Training Division,1%,In-Service Training,472,462,460
POLICE,General Services Bureau,Training Division,1%,Specialized On-Site Training,164,200,200
POLICE,General Services Bureau,Training Division,1%,Field Training Officer-FTO,0,10,10
POLICE,General Services Bureau,Training Division,1%,Breath Test Operator-BTO,21,50,50
POLICE,General Services Bureau,Training Division,1%,BTO (RE-CERT),52,55,55
POLICE,General Services Bureau,Training Division,1%,Standart Field Sobriety Test-SFST,17,50,50
POLICE,General Services Bureau,Training Division,1%,RADAR,12,50,50
POLICE,General Services Bureau,Training Division,1%,Specialized Off-site Training,423,450,450
POLICE,General Services Bureau,Training Division,1%,CRT Crisis Response Training Days,12,12,12
POLICE,General Services Bureau,Training Division,1%,Remedial Work Emergency Vehicle Operations Course - EVOC,11,60,50
POLICE,General Services Bureau,Armament Section,-,Officers Qualifying (Semi-annually),600,500,1000
POLICE,General Services Bureau,Armament Section,-,Weapons Repairs,150,450,500
POLICE,General Services Bureau,Armament Section,-,Rifle School,1,1,6
POLICE,General Services Bureau,Armament Section,-,Tactical Shotgun Training,480,420,450
POLICE,General Services Bureau,Armament Section,-,Basic ERT School,10,28,28
POLICE,General Services Bureau,Armament Section,-,ERT Training Days (Full Team),12,12,12
POLICE,General Services Bureau,Armament Section,-,Sniper Unit Training Days,48,48,48
POLICE,General Services Bureau,Armament Section,-,Recon Containment Unit Training Days,48,48,48
POLICE,General Services Bureau,Armament Section,-,Entry Unit Training Days,48,48,48
POLICE,General Services Bureau,Armament Section,-,Taser Certifications,0,5,10
POLICE,General Services Bureau,Armament Section,-,Taser Re-Certifications,150,176,60
POLICE,General Services Bureau,Intelligence & Technology Division,1%,Planning Projects/Studies,25,25,25
