Department,Sub-Department,Billing Classification,Billing Code,"Description
",2011/2012,2012/2013,2012/2013,2013/2014
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,400 CONTRACTUAL EXPENSES,403,Office Supplies ,"$16,585","$20,000","$20,000","$20,000"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$7,458 ","$12,000","$11,500 ","$12,000"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$760 ,"$2,100","$2,100","$2,100"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,400 CONTRACTUAL EXPENSES,408,Uniforms ,"$2,512 ","$2,550","$2,450 ","$2,550"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$2,921,977 ","$3,252,203","$3,252,203","$2,735,611"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development","$22,763","$30,000 ","$27,500 ","$30,000"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,400 CONTRACTUAL EXPENSES,418,Postage & Freight,$0,"$1,000",$825,"$1,000"
NEIGHBORHOOD & BUSINESS DEVELOPMENT,DIVISION OF CODE ENFORCEMENT,400 CONTRACTUAL EXPENSES,-,TOTAL,"$3,844,981 ","$4,253,578 ","$4,226,695 ","$4,042,994"
ENGINEERING,TECHNICAL SERVICES,100 PERSONAL SERVICES,101,Salaries ,"$1,046,345 ","$1,239,590 ","$1,079,216 ","$1,240,500"
ENGINEERING,TECHNICAL SERVICES,100 PERSONAL SERVICES,102,Wages ,"$30,145","$30,000 ","$30,000 ","$30,000 "
ENGINEERING,TECHNICAL SERVICES,100 PERSONAL SERVICES,103,Temporary Services,"$28,106","$30,000 ","$30,000 ","$30,000 "
ENGINEERING,TECHNICAL SERVICES,100 PERSONAL SERVICES,104,Overtime,"$2,219","$13,000 ","$6,286 ","$13,000"
ENGINEERING,TECHNICAL SERVICES,100 PERSONAL SERVICES,110,Uniform Allowance ,"$1,225","$1,400 ","$1,225 ","$1,400"
ENGINEERING,TECHNICAL SERVICES,100 PERSONAL SERVICES,191,Less: Reimbursement From Other Funds,"($207,735)","($190,000)","($180,000)","($190,000)"
ENGINEERING,TECHNICAL SERVICES,200 EQUIPMENT,202,Office Equipment & Furnishings,"$2,533 ","$2,600 ","$2,600","$3,000"
ENGINEERING,TECHNICAL SERVICES,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock","$28,274 ","$1,150","$1,150 ","$1,000"
ENGINEERING,TECHNICAL SERVICES,400 CONTRACTUAL EXPENSES,401,Motor Equipment Operating Supplies,"$9,990 ","$11,500 ","$10,420 ","$11,500"
ENGINEERING,TECHNICAL SERVICES,400 CONTRACTUAL EXPENSES,402,Motor Equipment Repairs Supplies & Expenses,"$2,937 ","$4,000 ","$3,500 ","$3,500"
ENGINEERING,TECHNICAL SERVICES,400 CONTRACTUAL EXPENSES,403,Office Supplies ,"$5,118 ","$7,000 ","$6,500","$6,500"
ENGINEERING,TECHNICAL SERVICES,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$3,664","$5,200","$5,200","$5,200"
ENGINEERING,TECHNICAL SERVICES,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$582,"$2,700 ","$2,500 ","$2,500"
ENGINEERING,TECHNICAL SERVICES,400 CONTRACTUAL EXPENSES,408,Uniforms ,"$1,206","$1,600","$1,600","$1,600"
ENGINEERING,TECHNICAL SERVICES,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$47,332 ","$45,257 ","$42,173 ","$44,280"
ENGINEERING,TECHNICAL SERVICES,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development","$2,373 ","$8,700 ","$9,378 ","$9,500"
ENGINEERING,TECHNICAL SERVICES,400 CONTRACTUAL EXPENSES,-,TOTAL:,"$1,004,314 ","$1,213,697","$1,051,748 ","$1,213,480"
PUBLIC WORKS,MAIN OFFICE,100 PERSONAL SERVICES,101,Salaries ,"$490,447","$547,838 ","$551,780","$557,166"
PUBLIC WORKS,MAIN OFFICE,100 PERSONAL SERVICES,103,Temporary Services,"$32,312","$30,000 ","$30,000 ","$30,000 "
PUBLIC WORKS,MAIN OFFICE,100 PERSONAL SERVICES,104,Overtime,$8,$500 ,$700 ,$500
PUBLIC WORKS,MAIN OFFICE,100 PERSONAL SERVICES,191,Less: Reimbursement From Other Funds,"($48,293)","($42,000)","($42,000)","($42,000)"
PUBLIC WORKS,MAIN OFFICE,100 PERSONAL SERVICES,193,Less: Reimbursement From Sweeping & Flushing,"($7,503)","($7,500)","($7,500)","($7,500)"
PUBLIC WORKS,MAIN OFFICE,100 PERSONAL SERVICES,197,Less: Reimbursement From Street Reconstruction,"($58,473)","($55,000)","($55,000)","($55,000)"
PUBLIC WORKS,MAIN OFFICE,200 EQUIPMENT,202,Office Equipment & Furnishings,$765,"$1,500","$1,200 ","$1,000"
PUBLIC WORKS,MAIN OFFICE,400 CONTRACTUAL EXPENSES,403,Office Supplies ,"$17,045","$18,100 ","$18,100 ","$18,100"
PUBLIC WORKS,MAIN OFFICE,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$0,$150,$150,$150
PUBLIC WORKS,MAIN OFFICE,400 CONTRACTUAL EXPENSES,411,Utilities ,"$1,235,836 ","$1,847,382 ","$1,300,000","$1,100,000"
PUBLIC WORKS,MAIN OFFICE,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$129,041 ","$188,900 ","$135,000 ","$92,782"
PUBLIC WORKS,MAIN OFFICE,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development ","$1,433 ","$5,890 ","$3,500 ","$3,500"
PUBLIC WORKS,MAIN OFFICE,400 CONTRACTUAL EXPENSES,419,Public Information Fund ,"$1,742 ","$9,000 ","$2,700","$2,700"
PUBLIC WORKS,MAIN OFFICE,400 CONTRACTUAL EXPENSES,491,Less: Reimbursement From Other Funds,"($2,826) ","($46,820)","($2,251) ","($2,251)"
PUBLIC WORKS,MAIN OFFICE,400 CONTRACTUAL EXPENSES,493,Less: Reimbursement From Sweeping & Flushing,($418) ,($800) ,($400) ,($400)
PUBLIC WORKS,MAIN OFFICE,400 CONTRACTUAL EXPENSES,497,Less: Reimbursement From Street Reconstruction,"($2,741) ","($101,000) ","($101,200)","($101,200)"
PUBLIC WORKS,MAIN OFFICE,400 CONTRACTUAL EXPENSES,-,TOTAL,"$1,788,375","$2,396,140 ","$1,834,779","$1,597,547"
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,100 PERSONAL SERVICES,101,Salaries ,"$154,784 ","$156,029 ","$155,171 ","$156,637"
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,100 PERSONAL SERVICES,102,Wages ,"$409,234","$432,651 ","$391,244 ","$394,675"
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,100 PERSONAL SERVICES,103,Temporary Services,"$85,126","$110,000","$110,000","$110,000"
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,100 PERSONAL SERVICES,104,Overtime,"$11,815","$25,000","$25,000","$25,000"
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,100 PERSONAL SERVICES,110,Uniform Allowance ,"$3,850","$2,450 ","$2,100 ","$2,275"
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,100 PERSONAL SERVICES,191,Less: Reimbursement From Other Funds,"$22,728","($21,500) ","($21,500) ","($21,500) "
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,200 EQUIPMENT,202,Office Equipment & Furnishings,"$1,044","$1,216 ","$1,216","$1,100"
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock","$8,432 ","$5,000","$5,000 ","$3,500"
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$3,082 ","$3,700 ","$3,770 ","$3,500"
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$98,$200,$200,$200
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,400 CONTRACTUAL EXPENSES,408,Uniforms ,"$5,722 ","$6,502 ","$6,304 ","$6,500"
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$38,940","$47,650 ","$45,000","$42,500"
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$40 ,$400 ,$100 ,$200
PUBLIC WORKS,DIVISION OF INFORMATION AND SERVICE REQUESTS,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$744,895","$769,298 ","$723,605 ","$724,587"
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,100 PERSONAL SERVICES,101,Salaries ,"$117,283","$121,835 ","$121,835 ","$121,940"
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,100 PERSONAL SERVICES,102,Wages ,"$2,035,581","$2,185,348 ","$1,980,000 ","$2,214,606"
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,100 PERSONAL SERVICES,103,Temporary Services,"$523,854 ","$298,140","$600,000 ","$300,000"
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,100 PERSONAL SERVICES,104,Overtime,"$443,002","$410,000","$410,000","$410,000"
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,100 PERSONAL SERVICES,108,Tool Allowance ,$600,$800,$800,$800
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,100 PERSONAL SERVICES,110,Uniform Allowance ,"$7,525 ","$3,850","$7,350","$7,350"
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,200 EQUIPMENT,191,Less: Reimbursement From Other Funds,"($158,501) ","($15,500) ","($53,750) ",$0
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,200 EQUIPMENT,202,Office Equipment & Furnishings,$706 ,"$1,000 ","$1,000 ",$750
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock","$9,939 ","$10,554 ","$10,554 ","$8,320"
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$203,961 ","$290,000 ","$210,000 ","$240,000"
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$0,$750 ,$750,$750
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,400 CONTRACTUAL EXPENSES,408,Uniforms ,"$3,472","$4,500","$4,500","$4,500"
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$208,560 ","$280,350 ","$280,350","$410,171"
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$250 ,$500,$500,$500
PUBLIC WORKS,DIVISION OF BUILDING SERVICES,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$3,396,232 ","$3,592,127 ","$3,573,889 ","$3,719,687"
PUBLIC WORKS,DIVISION OF STREET REPAIR,100 PERSONAL SERVICES,101,Salaries ,"$320,183 ","$339,305 ","$298,816 ","$300,319"
PUBLIC WORKS,DIVISION OF STREET REPAIR,100 PERSONAL SERVICES,102,Wages ,"$661,747 ","$755,907 ","$683,876","$765,288"
PUBLIC WORKS,DIVISION OF STREET REPAIR,100 PERSONAL SERVICES,103,Temporary Services,"$17,053 ","$10,000",$0,$0
PUBLIC WORKS,DIVISION OF STREET REPAIR,100 PERSONAL SERVICES,104,Overtime,"$223,586 ","$200,000","$185,000 ","$175,000"
PUBLIC WORKS,DIVISION OF STREET REPAIR,100 PERSONAL SERVICES,108,Tool Allowance ,$200,$200,$200,$200
PUBLIC WORKS,DIVISION OF STREET REPAIR,100 PERSONAL SERVICES,110,Uniform Allowance ,"$7,025","$7,350 ","$6,475","$7,350"
PUBLIC WORKS,DIVISION OF STREET REPAIR,100 PERSONAL SERVICES,191,Less: Reimbursement From Other Funds,$0 ,"($115,000) ","($115,000) ","($60,000)"
PUBLIC WORKS,DIVISION OF STREET REPAIR,100 PERSONAL SERVICES,197,Less: Reimbursement From Street Reconstruction,"($338,282) ","($350,000) ","($300,000)","($300,000)"
PUBLIC WORKS,DIVISION OF STREET REPAIR,200 EQUIPMENT,202,Office Equipment & Furnishings,$458,$500,$500,$500
PUBLIC WORKS,DIVISION OF STREET REPAIR,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock","$1,263","$1,250","$1,250","$1,250"
PUBLIC WORKS,DIVISION OF STREET REPAIR,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$148,093","$155,000 ","$131,275","$125,000"
PUBLIC WORKS,DIVISION OF STREET REPAIR,400 CONTRACTUAL EXPENSES,408,Uniforms ,"$6,466","$7,000 ","$7,000","$6,500"
PUBLIC WORKS,DIVISION OF STREET REPAIR,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$40,053 ","$140,410 ","$104,810","$104,810"
PUBLIC WORKS,DIVISION OF STREET REPAIR,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$617 ,"$3,485 ","$3,485","$2,485"
PUBLIC WORKS,DIVISION OF STREET REPAIR,400 CONTRACTUAL EXPENSES,491,Less: Reimbursement from Other Funds,$0 ,"($7,500) ","($29,726) ","($30,000)"
PUBLIC WORKS,DIVISION OF STREET REPAIR,400 CONTRACTUAL EXPENSES,-,TOTAL,"$1,088,462 ","$1,147,907 ","$977,961 ","$1,098,702"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,100 PERSONAL SERVICES,101,Salaries ,"$220,148 ","$222,761 ","$223,261","$217,011"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,100 PERSONAL SERVICES,102,Wages ,"$981,960","$1,027,820 ","$1,076,307 ","$1,083,289"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,100 PERSONAL SERVICES,104,Overtime,"$130,311 ","$150,000 ","$90,000 ","$100,000"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,100 PERSONAL SERVICES,108,Tool Allowance ,"$4,400 ","$5,200 ","$4,800 ","$5,000"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,100 PERSONAL SERVICES,110,Uniform Allowance ,"$5,075 ","$6,125 ","$5,250 ","$6,125"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,100 PERSONAL SERVICES,191,Less: Reimbursement From Other Funds,$0,"($30,500)","($30,500)","($30,500)"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,100 PERSONAL SERVICES,193,Less: Reimbursement From Sweeping and Flushing,$0,"($30,000)","($30,000)","($30,000)"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,100 PERSONAL SERVICES,197,Less: Reimbursement From Street Reconstruction,"($21,912)","($10,000)","($10,000)","($10,000)"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,200 EQUIPMENT,202,Office Equipment & Furnishings,"$1,243 ","$1,000 ","$1,000",$500
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock","$73,286 ","$53,920 ","$53,920","$50,000"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,400 CONTRACTUAL EXPENSES,401,Motor Equipment Operating Supplies,"$3,201,448 ","$3,726,700 ","$3,350,000 ","$3,300,000"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,400 CONTRACTUAL EXPENSES,402,Motor Equipment Repair Supplies,"$943,381 ","$1,000,000","$1,000,000","$1,000,000"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$57,332 ","$50,450 ","$59,450 ","$59,450"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,"$47,621","$45,000 ","$40,000 ","$42,500"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,400 CONTRACTUAL EXPENSES,408,Uniforms ,"$10,506","$9,595 ","$9,595 ","$9,215"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$26,717 ","$39,750 ","$30,000","$39,750"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$712 ,"$4,375 ","$2,175","$2,875"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,400 CONTRACTUAL EXPENSES,491,Less: Reimbursement from Other Funds,"($1,776,822) ","($2,200,000) ","($2,200,000) ","($1,994,500)"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,400 CONTRACTUAL EXPENSES,493,Less: Reimbursement From Sweeping and Flushing,"($158,468) ","($176,000) ","($176,000) ","($185,000)"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,400 CONTRACTUAL EXPENSES,497,Less: Reimbursement From Street Reconstruction,"($219,635)","($160,000) ","($160,000) ","($185,000)"
PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,400 CONTRACTUAL EXPENSES,-,TOTAL,"$3,527,303 ","$3,736,196","$3,339,258 ","$3,480,715"
PUBLIC WORKS,DIVISION OF SNOW AND ICE CONTROL,100 PERSONAL SERVICES,101,Salaries,"$41,109","$73,393","$74,268","$74,493"
PUBLIC WORKS,DIVISION OF SNOW AND ICE CONTROL,100 PERSONAL SERVICES,102,Wages ,"$1,529,615 ","$1,574,779 ","$1,512,568 ","$1,566,094"
PUBLIC WORKS,DIVISION OF SNOW AND ICE CONTROL,100 PERSONAL SERVICES,104,Overtime,"$281,083 ","$450,000 ","$450,000 ","$450,000"
PUBLIC WORKS,DIVISION OF SNOW AND ICE CONTROL,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$1,180,725 ","$1,900,000 ","$1,600,000","$1,700,000"
PUBLIC WORKS,DIVISION OF SNOW AND ICE CONTROL,400 CONTRACTUAL EXPENSES,415,Equipment Repair Supplies & Expenses,"$13,660","$89,960","$103,300","$103,300"
PUBLIC WORKS,DIVISION OF SNOW AND ICE CONTROL,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$0,"$1,000 ",$0 ,"$1,000"
PUBLIC WORKS,DIVISION OF SNOW AND ICE CONTROL,400 CONTRACTUAL EXPENSES,-,TOTAL,"$3,046,192","$4,089,132","$3,740,136 ","$3,894,887"
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",100 PERSONAL SERVICES,101,Salaries ,"$114,017 ","$113,581 ","$113,581","$113,731"
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",100 PERSONAL SERVICES,102,Wages ,"$2,675,363 ","$2,784,019 ","$2,727,862","$2,807,758"
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",100 PERSONAL SERVICES,103,Temporary Services,"$18,456","$12,000","$18,620","$18,000"
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",100 PERSONAL SERVICES,104,Overtime,"$135,683","$100,000 ","$125,890 ","$120,000"
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",100 PERSONAL SERVICES,110,Uniform Allowance ,"$14,700 ","$16,450","$14,875 ","$16,450"
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",100 PERSONAL SERVICES,152,Light Duty ,$0 ,"$10,000","$8,500","$8,500"
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",200 EQUIPMENT,202,Office Equipment & Furnishings,$0,$500,$500,$500
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",400 CONTRACTUAL EXPENSES,403,Office Supplies ,$0,$500,$500,$500
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$6,164","$9,455","$9,456 ","$9,576"
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",400 CONTRACTUAL EXPENSES,408,Uniforms ,"$34,356","$25,372 ","$26,596","$30,186"
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$2,847,240 ","$3,236,673 ","$2,800,000","$3,323,859"
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$577,$600 ,$600 ,$570
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",400 CONTRACTUAL EXPENSES,419,Public Information Fund,$0,$700 ,$0,$0
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",400 CONTRACTUAL EXPENSES,491,Less: Reimbursement from Other Funds,$0,"($5,000)",$0,$0
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",400 CONTRACTUAL EXPENSES,493,Less: Reimbursement From Sweeping and Flushing,$0,"($142,571)","($107,285) ","($186,000)"
PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING AND DISPOSAL",400 CONTRACTUAL EXPENSES,-,TOTAL,"$5,846,556","$6,162,279 ","$5,739,695 ","$6,263,630"
PUBLIC WORKS,DIVISION OF STREET CLEANING,100 PERSONAL SERVICES,101,Salaries ,"$39,085","$65,090","$39,000 ","$65,686"
PUBLIC WORKS,DIVISION OF STREET CLEANING,100 PERSONAL SERVICES,102,Wages ,"$691,016 ","$751,473 ","$725,000 ","$748,282"
PUBLIC WORKS,DIVISION OF STREET CLEANING,100 PERSONAL SERVICES,104,Overtime,"$52,722 ","$100,000 ","$50,000","$75,000"
PUBLIC WORKS,DIVISION OF STREET CLEANING,100 PERSONAL SERVICES,110,Uniform Allowance ,"$6,125 ","$7,525","$6,650 ","$7,525"
PUBLIC WORKS,DIVISION OF STREET CLEANING,100 PERSONAL SERVICES,202,Office Equipment & Furnishings,$955,"$1,000","$1,000","$1,000"
PUBLIC WORKS,DIVISION OF STREET CLEANING,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock",$742,$900,$900,$900
PUBLIC WORKS,DIVISION OF STREET CLEANING,200 EQUIPMENT,405,Functional Operating Supplies & Expenses,"$43,795 ","$48,225 ","$48,225 ","$35,000"
PUBLIC WORKS,DIVISION OF STREET CLEANING,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$0,$500,$500,$500
PUBLIC WORKS,DIVISION OF STREET CLEANING,400 CONTRACTUAL EXPENSES,408,Uniforms ,"$5,083","$6,500","$6,500","$6,500"
PUBLIC WORKS,DIVISION OF STREET CLEANING,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$50,226","$26,650","$26,650","$26,650"
PUBLIC WORKS,DIVISION OF STREET CLEANING,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development",$10 ,"$2,250 ","$1,250 ","$1,500"
PUBLIC WORKS,DIVISION OF STREET CLEANING,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$889,759 ","$1,010,113 ","$905,675","$968,543"
PUBLIC WORKS,DIVISION OF TRANSPORTATION,100 PERSONAL SERVICES,101,Salaries ,"$182,817","$182,117","$182,117","$182,117"
PUBLIC WORKS,DIVISION OF TRANSPORTATION,100 PERSONAL SERVICES,102,Wages ,"$558,928","$660,313 ","$611,882 ","$666,666"
PUBLIC WORKS,DIVISION OF TRANSPORTATION,100 PERSONAL SERVICES,103,Temporary Services,"$37,724","$25,000","$25,000","$25,000"
PUBLIC WORKS,DIVISION OF TRANSPORTATION,100 PERSONAL SERVICES,104,Overtime,"$50,901 ","$55,000 ","$55,000 ","$50,000"
PUBLIC WORKS,DIVISION OF TRANSPORTATION,100 PERSONAL SERVICES,110,Uniform Allowance ,"$3,675 ","$3,850 ","$3,150 ","$3,325"
PUBLIC WORKS,DIVISION OF TRANSPORTATION,100 PERSONAL SERVICES,191,Less: Reimbursement From Other Funds,"($4,094)",$0,$0,$0
PUBLIC WORKS,DIVISION OF TRANSPORTATION,200 EQUIPMENT,202,Office Equipment & Furnishings,$458,$500,$500,$500
PUBLIC WORKS,DIVISION OF TRANSPORTATION,200 EQUIPMENT,206,"Tools, Operating Equipment & Livestock",$184 ,"$3,500 ","$3,500 ","$2,250"
PUBLIC WORKS,DIVISION OF TRANSPORTATION,400 CONTRACTUAL EXPENSES,405,Functional Operating Supplies & Expenses,"$419,429","$416,650","$416,650","$416,650"
PUBLIC WORKS,DIVISION OF TRANSPORTATION,400 CONTRACTUAL EXPENSES,407,Equipment Repair Supplies & Expenses,$0,$500,$500,$500
PUBLIC WORKS,DIVISION OF TRANSPORTATION,400 CONTRACTUAL EXPENSES,408,Uniforms ,"$1,354 ","$3,670 ","$3,670 ","$2,800"
PUBLIC WORKS,DIVISION OF TRANSPORTATION,400 CONTRACTUAL EXPENSES,415,"Rental, Professional & Contractual Services","$4,977,953 ","$5,028,737 ","$5,028,737 ","$4,750,000"
PUBLIC WORKS,DIVISION OF TRANSPORTATION,400 CONTRACTUAL EXPENSES,416,"Travel, Training & Development","$2,546,394 ","$2,773,392 ","$2,773,392 ","$2,881,597"
PUBLIC WORKS,DIVISION OF TRANSPORTATION,400 CONTRACTUAL EXPENSES,430,Payments To Other Governments,"$16,337","$17,600","$16,337","$16,337"
PUBLIC WORKS,DIVISION OF TRANSPORTATION,400 CONTRACTUAL EXPENSES,-,TOTAL: ,"$8,792,683","$9,172,829","$9,121,750 ","$8,999,057"
FIRE,MAIN FIRE,100 PERSONAL SERVICES,101,Salaries,"$20,517,444","$21,864,631","$18,781,615 ","$21,823,033"
FIRE,MAIN FIRE,100 PERSONAL SERVICES,102,Wages ,"$327,500 ","$349,544 ","$315,594 ","$355,993"
FIRE,MAIN FIRE,100 PERSONAL SERVICES,104,Overtime,"$4,120,146 ","$2,584,084 ","$4,342,707","$2,618,000"
FIRE,MAIN FIRE,100 PERSONAL SERVICES,105,Holiday Pay,"$1,245,168","$1,627,042","$1,525,204 ","$1,502,629"
FIRE,MAIN FIRE,100 PERSONAL SERVICES,107,Night Shift Differential,"$164,669","$273,448","$188,668 ","$252,064"
