Department,Office,Division,Position,Grade,Salary Range - Low,Salary Range-High,"Headcount-Current 
2015-2016","Headcount-Projected
2016-2017"
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Laborer I,3,$15.11,$15.99,3,3
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Custodial Worker II,2,$14.84,$15.68,1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Custodial Worker I,1,$14.35,$15.21,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Electrician,FLAT,$30.80,$30.80,7,7
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Plumber,FLAT,$30.25,$30.25,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Steamfitter,FLAT,$30.25,$30.25,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Carpenter,FLAT,$29.71,$29.71,7,7
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Mason,FLAT,$30.15,$30.15,4,4
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Painter,FLAT,$28.62,$28.62,5,5
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Roofer,FLAT,$30.46,$30.46,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Mason (Temporary),FLAT,$49.38,$49.38,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Roofer (Temporary),FLAT,$44.88,$44.88,5,5
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Painter (Temporary),FLAT,$41.14,$41.14,3,3
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Electrician (Temporary),FLAT,$55.52,$55.52,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Plumber (Temporary),FLAT,$54.03,$54.03,0,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF BUILDING SERVICES,Carpenter (Temporary),FLAT,$43.52,$43.52,0,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET REPAIR,Superintendent of Street Repair,16M,"$50,226","$68,805",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET REPAIR,Engineering Project Coordinator,16M,"$50,226","$68,805",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET REPAIR,Bituminous Lab Technician,13,"$46,002","$52,768",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET REPAIR,Construction Inspector II,12,"$42,970","$49,043",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET REPAIR,Asphalt Plant Operator,11,"$40,221","$46,301",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET REPAIR,Engineering Technician I,10,"$37,678","$43,761",2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET REPAIR,Street Maintenance Crewleader,24,$19.62,$19.62,3,3
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET REPAIR,Maintenance Welder,16,$17.52,$18.39,1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET REPAIR,Motor Equipment Operator II,12,$16.58,$17.48,10,10
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET REPAIR,Motor Equipment Operator I,8,$15.83,$16.75,6,6
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET REPAIR,Laborer II,6,$15.53,$16.41,17,17
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET REPAIR,Street Cut Inspector,5,$15.35,$16.27,1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Fleet Manager,16M,"$50,226","$68,805",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Equipment Maintenance Supervisor,15M,"$44,874","$59,720",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Safety Trainer Instructor,15E,"$42,571","$55,132",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Supervisor of Stores and Services,13M,"$41,226","$52,898",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Heavy Equipment Mechanic Crewleader,29,$20.36,$20.36,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Heavy Equipment Mechanic II,16,$17.52,$18.39,14,13
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Maintenance Machinist,16,$17.52,$18.39,1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Maintenance Welder,16,$17.52,$18.39,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Storekeeper,15,$17.22,$18.06,2,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Auto Body Repair Worker,14,$17.06,$17.92,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Auto Mechanic,14,$17.06,$17.92,3,3
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Tire Service Mechanic,13,$16.72,$17.57,1,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Stock Clerk,8,$15.83,$16.75,1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Auto Mechanic Helper,8,$15.83,$16.75,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Motor Equipment Dispatcher,7,$15.78,$16.68,1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF MOTOR EQUIPMENT MAINTENANCE,Laborer I,3,$15.11,$15.99,0,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING, AND DISPOSAL",Superintendent of Waste Collection,16M,"$50,226","$68,805",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING, AND DISPOSAL",Accountant II,15,"$52,467","$59,231",1,0
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING, AND DISPOSAL",Sanitation Crewleader,23,$19.44,$19.44,5,5
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING, AND DISPOSAL",Motor Equipment Operator I,8,$15.83,$16.75,50,50
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING, AND DISPOSAL",Sanitation Worker,5,$15.35,$16.27,36,36
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,"DIVISION OF WASTE COLLECTION, RECYCLING, AND DISPOSAL",Laborer (Temporary),FLAT,$9.00/Hr.,$9.00/Hr.,6,6
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET CLEANING,Superintendent of Street Cleaning,16M,"$50,226","$68,805",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET CLEANING,Ass’t. Superintendent of Street Cleaning,15M,"$44,874","$59,720",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET CLEANING,Street Maintenance Crewleader,24,$19.62,$19.62,6,6
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET CLEANING,Motor Equipment Operator II,12,$16.58,$17.48,16,16
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET CLEANING,Motor Equipment Operator I,8,$15.83,$16.75,19,19
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET CLEANING,Laborer II,6,$15.53,16.41,8,8
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET CLEANING,Laborer I,3,$15.11,$15.99,14,14
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF STREET CLEANING,Laborer (Temporary),FLAT,$9.00,$9.00,0,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF TRANSPORTATION,Superintendent of Traffic Services,16M,"$50,226.00","$68,805.00",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF TRANSPORTATION,Traffic Signal Control Operator,16M,"$50,226.00","$68,805.00",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF TRANSPORTATION,Traffic Signal Repair Crewleader,29,$20.36,$20.36,1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF TRANSPORTATION,Traffic Sign Maintenance Crewleader,27,$19.90,$19.90,2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF TRANSPORTATION,Traffic Signal Repair Worker II,16,$17.52,$18.39,5,5
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF TRANSPORTATION,Sign Fabricator,15,$17.22,-$18.06,1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF TRANSPORTATION,Traffic Maintenance Worker,11,$16.35,$17.29,6,5
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF TRANSPORTATION,Laborer II,6,$15.53,$16.41,2,3
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF TRANSPORTATION,Laborer (Temporary),FLAT,$15.00Hr.,$15.00Hr.,3,5
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF SEWERS AND STREAMS,Superintendent of Sewers and Streams,16M,"$50,226.00","$68,805.00",1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF SEWERS AND STREAMS,Closed Circuit T.V. Operator,10,"$37,678.00","$43,761.00",2,2
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF SEWERS AND STREAMS,Sewer Maintenance Crewleader,24,$19.62,$19.62,5,5
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF SEWERS AND STREAMS,Underground Facilities Locator,15,$17.22,$18.06,1,1
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF SEWERS AND STREAMS,Mason,14,$17.06,$17.92,4,4
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF SEWERS AND STREAMS,Motor Equipment Operator II,12,$16.58,$17.48,3,3
DEPARTMENT OF PUBLIC WORKS,DEPARTMENT OF PUBLIC WORKS,DIVISION OF SEWERS AND STREAMS,Sewer Maintenance Worker I,8,$15.83,$16.75,32,32
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE SWORN,Chief of Fire,22E,"$117,069.00","$117,069.00",1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE SWORN,First Deputy Chief,20E,"$110,578.00","$110,578.00",1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE SWORN,Deputy Chief,FLAT,"$100,424.00","$100,424.00",5,5
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE SWORN,District Chief,35A,"$80,422.00","$80,422.00",14,14
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE SWORN,Fire Captain,32A,"$74,538.00","$74,538.00",23,23
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE SWORN,Fire Lieutenant,25B,"$68,675.00","$68,675.00",72,72
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE SWORN,Firefighter,21A,"$40,884.00","$60,879.00",246,246
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Fire Protection Engineer,16E,"$47,675.00","$64,707.00",1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Fiscal Officer,16E,"$47,675.00","$64,707.00",1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Secretary to Chief of Fire,12,"$42,970.00","$49,043.00",1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,LAN Tech Support Specialist,12,"$42,970.00","$49,043.00",1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Administrative Assistant,10,"$37,678.00","$43,761.00",1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Typist II,8,"$32,894.00","$38,273.00",2,2
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Administrative Aide,7,"$30,934.00","$36,315.00",1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Information Aide,1,"$23,369.00","$27,887.00",1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Electrician,FLAT ,$30.80,$30.80,1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Heavy Equipment Mechanic Crewleader,29,$20.36,$20.36,1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Heavy Equipment Mechanic II,16,$17.52,$18.39,4,4
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Fire Apparatus Maintenance Mechanic,16,$17.52,$18.39,1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Heavy Equipment Mechanic I,14,$16.73,$17.57,1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Maintenance Worker II,13,$16.72,$17.57,1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,MAIN FIRE CIVILIAN,Fire Equipment Supply Worker,8,$15.83,$16.75,1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,AIRPORT CRASH RESCUE,Fire Captain,32A,"$74,538.00","$74,538.00",1,1
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,AIRPORT CRASH RESCUE,Fire Lieutenant,25B,"$68,675.00","$68,675.00",4,4
DEPARTMENT OF FIRE,DEPARTMENT OF FIRE,AIRPORT CRASH RESCUE,Firefighter,21A,"$40,884.00","$60,879.00",20,20
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Chief of Police,FLAT,"$101,504.00","$101,504.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,First Deputy Chief,FLAT,"$96,078.00","$96,078.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Captain,35A,"$87,683.00","$87,683.00",4,4
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Lieutenant,32A,"$81,157.00","$81,157.00",4,4
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Sergeant,25B,"$74,654.00","$74,654.00",4,4
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Police Officer,21A,"$45,265.00","$67,438.00",18,18
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Garage Supervisor,13M,"$41,226.00","$52,898.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Network Administrator,16,"$54,979.00","$63,541.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,LAN Tech Support Specialist,12,"$56,079.00","$63,541.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Grants Procurement Specialist,11,"$40,221.00","$46,301.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Research Technician I,11,"$40,221.00","$46,301.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Accountant I,11,"$40,221.00","$46,301.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Computer Equipment Maintenance Specialist,10,"$37,678.00","$43,761.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Personnel Analyst,9,"$35,249.00","$40,615.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Secretary to the Chief of Police,8,"$32,894.00","$38,273.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Duplicating Equipment Operator II,7,"$30,934.00","$36,315.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Community Service Officer,6,"$29,086.00","$33,770.00",11,11
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Account Clerk II,6,"$29,086.00","$33,770.00",3,3
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Personnel Aide,6,"$29,086.00","$33,770.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Data Entry Equipment Operator,2,"$23,963.00","$28,476.00",5,5
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Information Aide,1,"$23,369.00","$27,887.00",1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Auto (Police) Crewleader,25,$19.66,$19.66,2,2
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Automotive/Equipment Mechanic,14,$17.06,$17.92,7,7
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Stock Clerk,8,$15.83,$16.75,1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Laborer II,6,$15.53,$16.41,2,2
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,GENERAL SERVICES BUREAU,Laborer I,3,$15.11,$15.99,1,1
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,FIELD SERVICES,Deputy Chief,FLAT,"$94,632.00","$94,632.00",3,3
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,FIELD SERVICES,Captain,35A,"$87,683.00","$87,683.00",7,7
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,FIELD SERVICES,Lieutenant,32A,"$81,157.00","$81,157.00",15,15
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,FIELD SERVICES,Sergeant,25B,"$74,654.00","$74,654.00",63,63
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,FIELD SERVICES,Police Officer,21A,"$45,265.00","$67,438.00",373,371
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,FIELD SERVICES,Community Service Officer,6,"$29,086.00","$33,770.00",21,21
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,FIELD SERVICES,Parking Checkers,4,"$26,142.00","$30,825.00",9,9
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,FIELD SERVICES,Information Aide,1,"$23,369.00","$27,887.00",3,3
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,FIELD SERVICES,Special Patrol Officer P/T (Temporary),_,$25.01,$30.00,0,4
DEPARTMENT OF POLICE,DEPARTMENT OF POLICE,FIELD SERVICES,School Crossing Guards (Temporary),_,"$4,213.00","$4,894.00",54,54
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",ADMINISTRATION BUREAU,Commissioner of Parks and Recreation,21E,"$70,062.00","$94,124.00",1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",ADMINISTRATION BUREAU,Deputy Commissioner of Parks and Recreation,17E,"$53,019.00","$69,393.00",1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",ADMINISTRATION BUREAU,Director of Planning,16E,"$47,675.00","$69,707.00",1,0
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",ADMINISTRATION BUREAU,Administrative Officer,14E,"$52,467.00","$59,231.00",1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",ADMINISTRATION BUREAU,Architect II,15,"$52,467.00","$59,231.00",1,0
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",ADMINISTRATION BUREAU,Architect I,13,"$46,002.00","$52,768.00",0,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",ADMINISTRATION BUREAU,Administrative Analyst II,13,"$46,002.00","$52,768.00",0,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",ADMINISTRATION BUREAU,LAN Technical Support Specialist,12,"$42,970.00","$49,043.00",1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",ADMINISTRATION BUREAU,Administrative Assistant,10,"$37,678.00","$43,761.00",1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",ADMINISTRATION BUREAU,Secretary to the Commissioner,10,"$37,678.00","$43,761.00",1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",ADMINISTRATION BUREAU,Information Aide,1,"$23,369.00","$27,887.00",1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,Arborist,16,"$56,079.00","$63,541.00",1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,Superintendent of Grounds Maintenance,15M,"$44,874.00","$59,720.00",1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,Asst Superintendent of Grounds Maintenance,13M,"$41,226.00","$52,898.00",1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,Administrative Assistant,10,"$37,678.00","$43,761.00",1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,Tree Trimmer Crewleader,28,$20.17,$20.17,1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,Greenhouse Crewleader,23,$19.44,$19.44,1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,Park Labor Crewleader,22,$19.07,$19.07,9,9
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,Tree Trimmer II,14,$17.06,$17.92,2,2
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,Motor Equipment Operator II,12,$16.58,$17.48,1,1
"DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS","DEPARTMENT OF PARKS, RECREATION AND YOUTH PROGRAMS",DIVISION OF PARKS/GROUNDS MAINTENANCE,Motor Equipment Operator I,8,$15.83,$16.75,3,3
